drift_mode,strategy,batch,model_version,accuracy,f1,precision,recall,drift_severity,drift_flags,concept_drift,retrained,train_duration,inference_time,policy_reason
full_with_label_flips,Policy-CurrentAnchor,batch_8,v4,0.7092,0.634856855851331,0.5857275254865616,0.6929824561403509,0.4070607477877155,3,True,False,0.0,0.026133298873901367,Persistence (1) < 2 | Cooldown (0) < 1
full_with_label_flips,Policy-CurrentAnchor,batch_9,v5,0.7652,0.6442424242424243,0.7163072776280324,0.585352422907489,0.5035280359748799,3,True,True,1.7041778564453125,0.028767824172973633,All conditions met. Triggering retrain.
full_with_label_flips,Policy-CurrentAnchor,batch_10,v5,0.727,0.6640413487570761,0.6137397634212921,0.7233243967828418,0.49313303632437216,4,False,False,0.0,0.026978731155395508,"Concept drift below thresholds (f1_drop=0.0505, recall_drop=0.0000) | Persistence (1) < 2 | Cooldown (0) < 1"
full_with_label_flips,Policy-CurrentAnchor,batch_11,v6,0.6974,0.6069108859444011,0.5887096774193549,0.6262734584450402,0.49959128437181133,4,True,True,1.7061843872070312,0.04020524024963379,All conditions met. Triggering retrain.
full_with_label_flips,Policy-CurrentAnchor,batch_12,v6,0.6342,0.5550960836779373,0.5394799054373522,0.5716432865731463,0.5105573691459939,4,True,False,0.0,0.029592037200927734,Persistence (1) < 2 | Cooldown (0) < 1
full_with_label_flips,Policy-SlidingNoAnchor,batch_1,v1,0.8232,0.7504234895539243,0.7877889745109662,0.7164420485175202,0.0,0,False,False,0.0,0.028730392456054688,"Severity (0.0000) < 0.1 | Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0050) | Persistence (0) < 2"
full_with_label_flips,Policy-SlidingNoAnchor,batch_2,v1,0.8132,0.7455040871934605,0.7331189710610932,0.7583148558758315,0.4482259194134601,2,False,False,0.0,0.027251720428466797,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0000) | Persistence (1) < 2"
full_with_label_flips,Policy-SlidingNoAnchor,batch_3,v2,0.7546,0.6534877153346512,0.6715031921067904,0.6364136413641364,0.3778355646666239,2,True,True,0.9760026931762695,0.04244875907897949,All conditions met. Triggering retrain.
full_with_label_flips,Policy-SlidingNoAnchor,batch_4,v2,0.7554,0.6414541190266784,0.6871859296482412,0.6014293567894448,0.5770517651428108,4,False,False,0.0,0.027591228485107422,"Concept drift below thresholds (f1_drop=0.0393, recall_drop=0.0479) | Persistence (1) < 2 | Cooldown (0) < 1"
full_with_label_flips,Policy-SlidingNoAnchor,batch_5,v3,0.7676,0.6861156131820637,0.6502816180235536,0.7261292166952544,0.5340710608990908,3,False,True,0.8725264072418213,0.028988122940063477,All conditions met. Triggering retrain.
full_with_label_flips,Policy-SlidingNoAnchor,batch_6,v3,0.7362,0.6025911419102139,0.6430868167202572,0.5668934240362812,0.4954487053242813,3,False,False,0.0,0.029840707778930664,"Concept drift below thresholds (f1_drop=0.0477, recall_drop=0.0598) | Persistence (1) < 2 | Cooldown (0) < 1"
full_with_label_flips,Policy-SlidingNoAnchor,batch_7,v4,0.7462,0.6875153902979562,0.6359908883826879,0.7481243301178992,0.4931190949995368,4,False,True,0.905695915222168,0.029857158660888672,All conditions met. Triggering retrain.
full_with_label_flips,Policy-SlidingNoAnchor,batch_8,v4,0.6976,0.6031496062992125,0.5785498489425982,0.6299342105263158,0.4740968770547475,4,True,False,0.0,0.030597209930419922,Persistence (1) < 2 | Cooldown (0) < 1
full_with_label_flips,Policy-SlidingNoAnchor,batch_9,v5,0.7496,0.6102117061021171,0.7020057306590258,0.539647577092511,0.5105450222048046,3,True,True,0.8676159381866455,0.027146577835083008,All conditions met. Triggering retrain.
full_with_label_flips,Policy-SlidingNoAnchor,batch_10,v5,0.7214,0.6192948893140202,0.6315496098104794,0.6075067024128686,0.5131926112195471,3,False,False,0.0,0.027968168258666992,"Concept drift below thresholds (f1_drop=0.0173, recall_drop=0.0019) | Persistence (1) < 2 | Cooldown (0) < 1"
full_with_label_flips,Policy-SlidingNoAnchor,batch_11,v6,0.6912,0.5804347826086956,0.5884297520661157,0.5726541554959785,0.4886169293315396,3,False,True,0.8869218826293945,0.0267336368560791,All conditions met. Triggering retrain.
full_with_label_flips,Policy-SlidingNoAnchor,batch_12,v6,0.6308,0.5387306346826587,0.5373878364905285,0.5400801603206413,0.47018210232664837,4,True,False,0.0,0.029170751571655273,Persistence (1) < 2 | Cooldown (0) < 1
